,code,name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,prev_total_points,transfers_balance,transfers_in,transfers_out,current_price,was_home,yellow_cards,name_p,position,init_price,team_code,total_points
0,55459.0,Aaron_Cresswell_402,0,0,8,0,2.0,402,209,2,0,1.1,9.2,2019-01-02T19:45:00Z,90,36,0,0,0,0,21,0,34228,2,2,0.0,1,37,567,530,50,True,0,ARNKRSL,2.0,50.0,21.0,6
1,17349.0,Aaron_Lennon_83,0,0,0,0,0.0,83,206,0,0,0.0,0.0,2019-01-02T19:45:00Z,0,97,0,0,0,0,21,0,26842,2,1,0.0,0,-1850,19,1869,50,False,0,ARNLNN,3.0,49.0,90.0,0
2,74471.0,Aaron_Mooy_199,0,0,0,0,0.0,199,206,0,0,0.0,0.0,2019-01-02T19:45:00Z,0,90,0,0,0,0,21,0,68837,2,1,0.0,0,-2557,22,2579,51,True,0,ARNM,3.0,50.0,38.0,0
3,41792.0,Aaron_Ramsey_14,0,0,21,0,1.6,14,201,0,1,5.2,33.2,2019-01-01T15:00:00Z,15,54,0,0,0,0,21,0,57435,1,4,17.0,6,1068,2690,1622,72,True,0,ARNRMS,3.0,71.0,3.0,1
4,214590.0,Aaron_Wan-Bissaka_145,0,0,26,1,2.8,145,210,0,0,2.3,20.4,2019-01-02T19:45:00Z,90,39,0,0,0,0,21,0,1922890,2,0,0.0,6,27540,60493,32953,44,False,0,ARNPSKN,2.0,46.0,31.0,4
5,432793.0,Abd-Al-Ali Morakinyo Olaposi_Koiki_564,0,0,0,0,0.0,564,206,0,0,0.0,0.0,2019-01-02T19:45:00Z,0,97,0,0,0,0,21,0,232,2,1,0.0,0,29,70,41,40,False,0,APTLLKKMRKNLPS,2.0,40.0,90.0,0
6,246878.0,Abdelhamid_Sabiri_205,0,0,0,0,0.0,205,206,0,0,0.0,0.0,2019-01-02T19:45:00Z,0,90,0,0,0,0,21,0,3188,2,1,0.0,0,-86,30,116,43,True,0,APTLMTSPR,3.0,43.0,38.0,0
7,121599.0,Abdoulaye_DoucourÃÂ©_390,0,0,0,0,22.3,390,202,3,0,2.5,1.6,2019-01-02T19:45:00Z,55,98,0,0,0,0,21,0,141118,3,3,1.0,0,16459,27114,10655,59,False,1,APTLTKR,3.0,58.0,57.0,2
8,197030.0,Aboubakar_Kamara_189,0,0,25,0,2.0,189,201,2,1,6.9,32.0,2019-01-01T15:00:00Z,29,3,0,0,0,0,21,0,652851,1,4,35.0,5,4576,54466,49890,44,False,0,APPKRKMR,4.0,45.0,54.0,0
9,194401.0,Adalberto_PeÃÂ±aranda_554,0,0,0,0,0.0,554,202,0,0,0.0,0.0,2019-01-02T19:45:00Z,0,98,0,0,0,0,21,0,311,3,3,0.0,0,78,149,71,50,False,0,ATLPRTPRNT,4.0,50.0,57.0,0
10,233497.0,Adama_Diakhaby_471,0,0,0,0,0.0,471,206,0,0,0.0,0.0,2019-01-02T19:45:00Z,0,90,0,0,0,0,21,0,1045,2,1,0.0,0,-7,25,32,45,True,0,ATMTKP,3.0,45.0,38.0,0
11,159533.0,Adama_TraorÃÂ©_500,0,0,1,0,0.3,500,210,1,0,0.1,0.2,2019-01-02T19:45:00Z,6,31,0,0,0,0,21,0,17095,2,0,0.0,1,-766,196,962,52,True,0,ATMTRR,3.0,51.0,39.0,1
12,39155.0,Adam_Lallana_250,0,0,0,0,0.0,250,207,0,0,0.0,0.0,2019-01-03T20:00:00Z,0,43,0,0,0,0,21,0,41118,1,2,0.0,0,-165,66,231,69,False,0,ATMLLN,3.0,69.0,14.0,0
