FullName,FullNamePhonetic1,FullNamePhonetic2,SeparatedNamePhonetic1,SeparatedNamePhonetic2,ID
aaaaaglar saaaayaaaancaaaa,AKLRSNK,NaN,"('AKLR', 'SNK')",NaN,218031
aaaarjan nyland,ARJNNLNT,NaN,"('ARJN', 'NLNT')",NaN,98770
aaaglar saayaancaa,AKLRSNK,NaN,"('AKLR', 'SNK')",NaN,218031
aalvaro morata,ALFRMRT,NaN,"('ALFR', 'MRT')",NaN,88482
aarjan nyland,ARJNNLNT,NaN,"('ARJN', 'NLNT')",NaN,98770
aaron connolly,ARNKNL,NaN,"('ARN', 'KNL')",NaN,233425
aaron cresswell,ARNKRSL,NaN,"('ARN', 'KRSL')",NaN,55459
aaron lennon,ARNLNN,NaN,"('ARN', 'LNN')",NaN,17349
aaron mooy,ARNM,NaN,"('ARN', 'M')",NaN,74471
aaron ramsdale,ARNRMSTL,NaN,"('ARN', 'RMSTL')",NaN,225321
aaron ramsey,ARNRMS,NaN,"('ARN', 'RMS')",NaN,41792
aaron rowe,ARNR,NaN,"('ARN', 'R')",NaN,440113
aaron wan bissaka,ARNPSKN,NaN,"('ARN', 'AN', 'PSK')","('', 'FN', '')",214590
abd al ali morakinyo olaposi koiki,APTLLKKMRKNLPS,NaN,"('APT', 'AL', 'AL', 'MRKN', 'ALPS', 'KK')",NaN,432793
abdelhamid sabiri,APTLMTSPR,NaN,"('APTLMT', 'SPR')",NaN,246878
abdoulaye doucouraa,APTLTKR,NaN,"('APTL', 'TKR')",NaN,121599
abdoulaye doucouraaaa,APTLTKR,NaN,"('APTL', 'TKR')",NaN,121599
aboubakar kamara,APPKRKMR,NaN,"('APPKR', 'KMR')",NaN,197030
adalberto peaaaaaranda,ATLPRTPRNT,NaN,"('ATLPRT', 'PRNT')",NaN,194401
adalberto peaaaranda,ATLPRTPRNT,NaN,"('ATLPRT', 'PRNT')",NaN,194401
adam forshaw,ATMFRX,ATMFRXF,"('ATM', 'FRX')","('', 'FRXF')",80179
adam idah,ATMT,NaN,"('ATM', 'AT')",NaN,432735
adam lallana,ATMLLN,NaN,"('ATM', 'LLN')",NaN,39155
adam masina,ATMMSN,NaN,"('ATM', 'MSN')",NaN,155651
adam smith,ATMSM0,ATMSMT,"('ATM', 'SM0')","('', 'XMT')",54469
adam webster,ATMPSTR,NaN,"('ATM', 'APSTR')","('', 'FPSTR')",110735
adama diakhaby,ATMTKP,NaN,"('ATM', 'TKP')",NaN,233497
adama traoraa,ATMTRR,NaN,"('ATM', 'TRR')",NaN,159533
