gw,date
1,12/09/2020
2,19/09/2020
3,26/09/2020
4,03/10/2020
5,17/10/2020
6,24/10/2020
7,31/10/2020
8,07/11/2020
9,21/11/2020
10,28/11/2020
11,05/12/2020
12,12/12/2020
13,16/12/2020
14,19/12/2020
15,26/12/2020
16,28/12/2020
17,02/01/2021
18,13/01/2021
19,16/01/2021
20,27/01/2021
21,30/01/2021
22,03/02/2021
23,06/02/2021
24,13/02/2021
25,20/02/2021
26,27/02/2021
27,06/03/2021
28,13/03/2021
29,20/03/2021
30,03/04/2021
31,10/04/2021
32,17/04/2021
33,24/04/2021
34,01/05/2021
35,08/05/2021
36,12/05/2021
37,15/05/2021
38,23/05/2021
