id,name
11334,Petr Cech
80201,Bernd Leno
51507,Laurent Koscielny
98745,HÃ©ctor BellerÃ­n
38411,Nacho Monreal
156074,Rob Holding
69140,Shkodran Mustafi
111457,Sead Kolasinac
233963,Konstantinos Mavropanos
27335,Stephan Lichtsteiner
39476,Sokratis Papastathopoulos
37605,Mesut Ãzil
41792,Aaron Ramsey
153133,Alex Iwobi
153256,Mohamed Elneny
84450,Granit Xhaka
57249,Henrikh Mkhitaryan
200641,Reiss Nelson
154043,Ainsley Maitland-Niles
50175,Danny Welbeck
59966,Alexandre Lacazette
54694,Pierre-Emerick Aubameyang
198849,Lucas Torreira
242166,Matteo Guendouzi
98980,Emiliano MartÃ­nez
209289,Emile Smith-Rowe
209037,Zech Medley
205533,Edward Nketiah
223340,Bukayo Saka
200089,Joseph Willock
80254,Carl Jenkinson
89572,Denis SuÃ¡rez
40349,Asmir Begovic
18726,Artur Boruc
15149,Simon Francis
56917,Steve Cook
41320,Charlie Daniels
54469,Adam Smith
149484,Tyrone Mings
126184,Nathan AkÃ©
222434,Jack Simpson
20037,Marc Pugh
15237,Andrew Surman
56872,Junior Stanislas
40387,Dan Gosling
103912,Jordon Ibe
155408,Lewis Cook
90105,Ryan Fraser
122342,Emerson Hyndman
111317,David Brooks
75115,Callum Wilson
178304,Lys Mousset
78007,Joshua King
7958,Jermain Defoe
57328,Nathaniel Clyne
154566,Dominic Solanke
171129,Diego Rico
152551,Jefferson Lerma
223911,Chris Mepham
217331,Sam Surridge
431774,Kyle Taylor
444181,Nnamdi Ofoborh
229600,Mark Travers
200370,Matt Butcher
131897,Mathew Ryan
83299,Lewis Dunk
61933,Shane Duffy
11352,Bruno Saltor Grau
42748,GaÃ«tan Bong
43808,Markus Suttner
74375,Ezequiel Schelotto
52484,Leon Balogun
83543,Anthony Knockaert
40845,Dale Stephens
38490,Beram Kayal
109345,Solomon March
60307,Pascal GroÃ
66242,Davy PrÃ¶pper
167473,JosÃ© Heriberto Izquierdo Mena
20529,Glenn Murray
38499,Tomer Hemed
28462,Sam Baldock
106757,JÃ¼rgen Locadia
93284,Florin Andone
50093,David Button
