Name,id,appearances,goals,wins,losses,clean_sheets,goals_conceded,tackles,tackle_success_%,last_man_tackles,blocked_shots,interceptions,clearances,headed_clearance,clearances_off_line,recoveries,duels_won,duels_lost,successful_50/50s,aerial_battles_won,aerial_battles_lost,own_goals,errors_leading_to_goal,assists,passes,passes_per_match,big_chances_created,crosses,cross_accuracy_%,through_balls,accurate_long_balls,yellow_cards,red_cards,fouls,offsides,headed_goals,goals_with_right_foot,goals_with_left_foot,hit_woodwork,big_chances_missed,freekicks_scored,goals_per_match,penalties_scored,shooting_accuracy_%,shots,shots_on_target,catches,goal_kicks,high_claims,penalties_saved,punches,saves,sweeper_clearances,throw_outs,season
Max Aarons,-1.0,42.0,0.0,4.0,31.0,5.0,86.0,60.0,67.0,0.0,7.0,44.0,86.0,35.0,3.0,206.0,199.0,206.0,57.0,25.0,62.0,0.0,0.0,1.0,1537.0,36.6,8.0,82.0,26.0,2.0,43.0,8.0,0.0,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Tammy Abraham,173879.0,89.0,26.0,36.0,33.0,0.0,0.0,25.0,0.0,0.0,31.0,12.0,55.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,922.0,10.36,7.0,32.0,0.0,0.0,0.0,2.0,0.0,56.0,39.0,3.0,20.0,1.0,3.0,30.0,0.0,0.29,0.0,41.0,164.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Che Adams,200439.0,70.0,13.0,24.0,31.0,0.0,0.0,37.0,0.0,0.0,25.0,7.0,30.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,924.0,13.2,16.0,19.0,0.0,0.0,0.0,1.0,0.0,56.0,29.0,0.0,12.0,1.0,2.0,25.0,0.0,0.19,0.0,44.0,96.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Tosin Adarabioyo,109646.0,33.0,0.0,5.0,15.0,9.0,41.0,37.0,51.0,0.0,2.0,42.0,193.0,99.0,0.0,143.0,136.0,83.0,11.0,83.0,39.0,1.0,1.0,0.0,1905.0,57.73,0.0,2.0,2.0,0.0,118.0,1.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Dennis Adeniran,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Albert Adomah,-1.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,80.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0,9.0,18.0,2.0,0.0,5.0,0.0,0.0,0.0,32.0,16.0,0.0,9.0,22.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Adrián,-1.0,139.0,0.0,57.0,45.0,38.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,3481.0,25.04,0.0,0.0,0.0,0.0,1096.0,10.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,1265.0,150.0,5.0,57.0,464.0,112.0,550.0,3
Adrien Silva,46483.0,14.0,0.0,4.0,7.0,0.0,0.0,24.0,63.0,0.0,5.0,15.0,1.0,1.0,0.0,63.0,52.0,75.0,7.0,11.0,21.0,0.0,0.0,1.0,512.0,36.57,1.0,4.0,4.0,3.0,26.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,18.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Daniel Adshead,431924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Benik Afobe,-1.0,63.0,10.0,19.0,28.0,0.0,0.0,18.0,0.0,0.0,12.0,7.0,34.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,673.0,10.68,2.0,8.0,0.0,0.0,0.0,1.0,0.0,45.0,27.0,3.0,4.0,3.0,2.0,19.0,0.0,0.16,0.0,43.0,61.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
