id,total_points
461450,0
90585,0
58845,1
245923,0
56983,2
203325,2
170271,0
216616,1
171317,2
101668,2
467114,0
225796,6
173818,0
220037,0
126184,6
41135,0
101982,7
111457,0
108813,0
492373,0
41270,1
114283,0
58621,0
101537,0
231372,0
37605,0
209288,0
55422,2
173879,1
20529,0
80226,14
164511,0
109533,0
196118,0
47247,2
165153,5
44346,0
85955,0
463912,0
153127,0
430367,0
51927,0
180294,0
447373,0
73314,0
109646,1
74230,0
59735,0
76357,0
174593,0
47431,3
173807,0
54861,2
85971,12
199584,0
21205,0
448487,0
78056,0
98980,2
15749,0
243568,3
81012,0
96994,2
164555,7
171771,2
111782,0
81183,2
164484,0
108053,5
166324,2
40669,0
214987,0
80146,1
531076,0
437858,2
121599,0
172850,6
179830,0
108416,-1
168580,1
167878,2
204480,0
450527,2
439510,0
17745,2
50175,12
57328,0
486870,0
437495,2
224444,9
226597,6
61604,0
195473,1
50232,2
98745,8
159533,2
42525,0
505265,0
165808,0
106617,1
231747,1
83427,0
105717,0
58822,0
209289,0
209289,0
40386,0
480216,0
170137,2
101148,0
102057,0
61916,0
20452,0
173515,5
40694,0
149266,0
110735,6
40845,0
28690,1
40564,0
59949,1
108823,3
449988,8
194252,4
57410,0
172841,7
103192,5
55459,2
37642,10
50471,0
449781,0
217593,2
61366,0
205533,0
481371,0
193645,1
116216,3
78916,6
38533,2
59966,0
244851,0
431131,0
37915,6
39487,0
38290,0
57913,0
180974,1
149828,0
149484,2
432720,0
209046,0
194126,0
181008,0
19236,0
135363,8
233425,0
109345,0
68983,1
80179,0
195480,2
490145,0
58376,5
461446,0
167074,0
437688,0
232423,0
85242,0
57513,0
98770,0
55494,1
114243,2
109638,0
496179,0
17601,0
226182,1
173904,0
155569,0
111931,0
245824,0
78830,2
200089,0
40784,0
465572,0
492066,0
184029,3
242166,0
82078,0
67089,1
155197,0
215439,2
216054,0
205651,2
84182,2
109745,0
194794,0
154043,1
466955,0
152898,0
115556,0
20310,0
433590,0
132015,2
218031,2
198044,0
220394,0
222018,0
55038,0
214466,0
223332,0
95715,0
447325,0
51090,7
93284,0
82403,2
19624,0
86881,0
60025,0
74471,0
119471,-2
465551,0
198869,6
194164,1
69140,0
225368,0
491559,0
111234,2
450542,0
75115,2
228286,7
60689,6
61739,0
17997,0
214470,0
195471,0
462635,0
82263,1
210407,2
106611,0
461096,0
513789,0
219352,2
232881,0
478449,0
204676,0
220598,0
219265,0
474907,0
62974,1
41674,0
60252,2
108156,0
126187,0
243505,1
120250,2
89274,0
481626,0
217401,0
111291,0
37572,8
83312,0
208998,0
199798,2
55037,1
222017,0
200878,0
230127,0
101188,7
247632,0
440993,0
199796,2
49262,0
166989,2
495542,0
121145,6
422612,0
19188,1
432656,0
49440,0
61600,0
84915,0
215460,1
41823,1
79852,0
173809,0
444463,1
109434,0
232826,0
124183,3
166477,2
232229,0
155513,0
81441,0
173821,2
20467,0
83543,0
55914,0
115382,2
146610,0
440241,0
83283,2
40836,1
82514,0
213405,0
141569,0
91047,5
235382,0
149915,2
38588,0
201666,0
462424,0
463034,0
178186,1
39476,0
200600,1
203368,0
179456,0
153379,0
153379,0
18987,0
215059,6
114536,0
57531,13
456966,0
232398,0
490721,0
232977,0
462384,0
215379,0
54694,12
61933,0
86417,1
203341,2
153256,11
92259,0
447093,0
104953,0
57145,0
184341,6
66975,1
174874,1
109322,2
82691,0
153723,0
433154,2
49944,0
102826,12
167473,0
66838,0
220566,3
128389,1
100649,1
101105,0
41727,0
87107,0
422306,0
39155,0
60586,0
101394,2
115918,0
44699,1
19419,0
40559,0
195064,0
111773,0
155529,0
90517,0
442229,0
107613,2
192895,0
104547,1
455084,0
168763,0
66588,0
36903,21
105377,1
33148,0
168765,1
97299,0
49957,0
221239,1
219847,16
79934,2
445896,0
58786,0
218023,0
450070,0
17761,1
39790,0
102380,0
55605,6
74854,0
86934,2
200088,1
178173,0
232653,1
59125,0
109528,0
218997,0
60232,1
59940,2
40383,0
219291,0
40142,0
221272,0
106837,0
474003,0
183015,0
434138,0
63426,0
44683,1
209353,0
141020,0
232427,0
107265,0
157882,1
250604,2
492374,0
72222,2
146941,6
66242,0
232787,2
101178,10
240143,1
244848,0
165210,1
159506,0
87873,1
106618,1
195735,1
166640,0
60307,8
157668,1
215062,0
105666,0
103955,3
103025,0
461102,0
197937,1
77777,0
103914,1
169359,2
168399,0
172782,2
198849,0
151119,0
110504,5
223340,0
18867,0
98747,1
54102,0
151589,2
209362,0
83314,0
77359,0
217487,0
220627,0
248937,0
222694,1
80954,1
223824,0
153366,0
223349,0
222531,1
83299,8
232361,0
93100,-2
151086,2
113534,0
230046,1
88894,2
40145,2
119765,2
232413,2
227127,3
200826,3
84450,2
180135,2
78356,0
184259,0
146426,2
91651,0
160987,0
164011,8
244858,1
206325,1
449926,0
41328,0
173954,1
198826,1
18073,0
114128,0
37402,0
167522,0
242058,0
441271,0
244619,2
221610,0
213482,0
448514,2
213345,0
444145,6
15033,0
11948,0
40146,0
447372,0
232829,0
178301,8
193488,6
59859,0
92371,0
93264,6
122775,0
176420,1
439482,0
60551,2
177815,8
172632,0
184386,0
94245,0
27789,6
50093,0
20066,0
38716,0
178304,1
153673,0
123354,0
220738,0
176413,0
78007,1
122806,2
199249,6
197469,0
428610,0
199598,0
184349,0
80201,0
179018,1
222627,0
87835,0
42427,0
431019,0
194799,0
182539,3
167199,1
158534,2
131897,6
111478,6
32259,0
121160,7
49413,0
214225,0
184704,0
56377,0
480455,0
45268,0
219924,2
243016,1
27436,2
195774,0
209244,0
101184,1
171314,0
153133,2
172780,2
51938,1
72681,0
86153,0
232797,0
461533,0
37096,2
234908,0
82143,0
95463,0
88900,2
128198,0
245719,0
487836,0
486672,0
212319,2
169528,1
200402,8
228798,0
94147,2
50229,1
223175,0
169432,0
116594,1
207189,1
102884,0
481624,0
84939,0
156074,0
443296,0
103123,0
122074,0
465299,0
478912,0
200439,2
244723,1
221399,2
171975,1
232792,0
49083,0
195864,0
216208,0
465390,0
7645,0
19194,0
37339,0
148508,0
197030,0
50472,0
200641,0
209042,0
47390,0
432927,0
165809,0
90105,0
203389,1
214048,1
204642,0
225321,2
46483,0
421796,0
155405,0
219961,0
60706,0
219937,0
220688,0
216051,0
55909,0
180804,0
51940,0
176297,0
156689,0
101582,0
41733,0
58893,0
58498,0
250370,0
116535,0
233489,0
118748,0
95658,0
244856,0
214590,0
61558,0
197464,0
232937,0
200720,0
232928,0
472464,0
15157,0
153682,0
243343,0
493250,0
92217,0
488404,0
438277,0
110979,0
62398,0
490138,0
116643,0
172649,0
214285,0
206915,0
60914,0
81880,0
222677,0
175592,0
43670,0
97032,0
148225,0
215136,0
106760,0
40720,0
194634,0
201084,0
195851,0
152760,0
74208,0
444884,0
169187,0
122798,0
433019,0
200617,0
171287,0
180184,0
68312,0
42899,0
152590,0
197365,0
56979,0
141746,0
6744,0
184667,0
76359,0
