assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,team_a_score,team_h_score,threat,transfers_balance,transfers_in,transfers_out,current_price,was_home,yellow_cards,position,init_price,team_code,gw,id,total_points,total_points_1,total_points_2,total_points_3,total_points_4
0,0,11,0,0.0,603,222,1,0,1.4,13.8,90,36,0,0,0,0,1,10237,1.0,1.0,0.0,9786,10752,966,45,0,0,1.0,42.0,7.0,23,8432,2,2,10,2,-999
0,0,12,0,0.0,603,231,1,0,1.5,14.6,90,57,0,0,0,0,1,18885,1.0,2.0,0.0,7499,9066,1567,45,1,0,1.0,42.0,7.0,24,8432,2,10,2,-999,1
0,0,17,0,0.0,603,241,2,0,2.4,24.0,90,91,0,0,0,0,4,26609,1.0,2.0,0.0,8044,10951,2907,45,0,0,1.0,42.0,7.0,25,8432,10,2,-999,1,0
0,2,39,0,0.0,603,252,3,0,7.7,77.4,90,6,0,0,1,0,7,27162,3.0,2.0,0.0,610,3424,2814,45,1,0,1.0,42.0,7.0,26,8432,2,-999,1,0,0
0,0,21,0,10.0,603,269,2,0,5.6,46.4,90,20,0,0,0,0,7,37049,0.0,2.0,0.0,9062,10817,1755,45,0,1,1.0,42.0,7.0,27,8432,-999,1,0,0,0
0,0,10,0,0.0,603,285,4,0,2.2,21.6,90,13,0,0,0,0,3,37967,0.0,4.0,0.0,1823,4267,2444,45,0,0,1.0,42.0,7.0,29,8432,0,0,0,1,2
0,0,0,0,0.0,603,271,0,0,0.0,0.0,0,49,0,0,0,0,0,120730,0.0,0.0,0.0,78754,125204,46450,45,1,0,1.0,42.0,7.0,30,8432,0,0,1,2,9
0,0,0,0,0.0,603,291,0,0,0.0,0.0,0,8,0,0,0,0,0,120730,2.0,1.0,0.0,78754,125204,46450,45,1,0,1.0,42.0,7.0,30,8432,0,0,1,2,9
0,0,0,0,0.0,603,306,0,0,0.0,0.0,0,4,0,0,0,0,0,73212,1.0,1.0,0.0,-40328,906,41234,44,0,0,1.0,42.0,7.0,31,8432,0,1,2,9,2
0,0,0,0,0.0,603,312,0,0,0.0,0.0,0,39,0,0,0,0,0,66294,1.0,0.0,0.0,-10542,465,11007,43,1,0,1.0,42.0,7.0,32,8432,1,2,9,2,6
0,0,13,0,0.0,603,324,2,0,1.5,15.2,90,14,0,0,0,0,2,58912,0.0,2.0,0.0,-7190,426,7616,42,0,0,1.0,42.0,7.0,33,8432,2,9,2,6,2
